success,total_time,mouse_move_count,avg_mouse_speed,max_mouse_speed,input_change_count,final_input_length,edit_distance,time_per_character,error_rate,class
1,2015.0,2,0.1030385236194073,0.1320528211284513,5,5,0,403.0,1.0,0
1,2047.0,3,0.1448505596298068,0.2038794368827028,5,5,0,409.4,1.0,0
1,2099.0,2,0.0998927454004277,0.1257861635220125,5,5,0,419.8,1.0,0
1,1987.0,2,0.1038016960589662,0.1348039215686274,5,5,0,397.4,1.0,0
1,2056.0,2,0.1015332646982978,0.1294879340788699,5,5,0,411.2,1.0,0
1,2006.0,2,0.103949498074345,0.1346389228886169,5,5,0,401.2,1.0,0
0,1844.0,2,0.1099757345438098,0.1467645096731154,4,4,2,461.0,1.0,0
1,1990.0,2,0.1046270030854981,0.1348039215686274,5,5,0,398.0,1.0,0
1,2009.0,2,0.1026473763420886,0.1321321321321321,5,5,0,401.8,1.0,0
1,2029.0,3,0.1455077319442907,0.2045948033279052,5,5,0,405.8,1.0,0
1,1969.0,2,0.1046328681222905,0.1360544217687075,5,5,0,393.8,1.0,0
1,2019.0,2,0.1024104483702827,0.1307966706302021,5,5,0,403.8,1.0,0
1,1983.0,2,0.1052354208516867,0.1359703337453646,5,5,0,396.6,1.0,0
1,1986.0,2,0.1039663430921927,0.1347213717085119,5,5,0,397.2,1.0,0
1,2030.0,2,0.1023469774808875,0.13189448441247,5,5,0,406.0,1.0,0
1,1970.0,3,0.1464470097070303,0.2031690555695226,5,5,0,394.0,1.0,0
0,2047.0,3,0.1452719755427879,0.2038794368827028,5,5,1,409.4,1.0,0
1,2010.0,3,0.1465580123632496,0.2045948033279052,5,5,0,402.0,1.0,0
1,2023.0,2,0.1019496688908136,0.1318154583582984,5,5,0,404.6,1.0,0
1,2072.0,3,0.0679772495314295,0.1302545885139135,5,5,0,414.4,1.0,0
1,2032.0,2,0.1019773200003481,0.130718954248366,5,5,0,406.4,1.0,0
1,2005.0,2,0.1028627838104639,0.1333333333333333,5,5,0,401.0,1.0,0
1,1965.0,2,0.1046749641686298,0.1361386138613861,5,5,0,393.0,1.0,0
1,2067.0,2,0.1019564162951859,0.1294879340788699,5,5,0,413.4,1.0,0
0,2042.0,2,0.1026233776162855,0.1307966706302021,5,5,1,408.4,1.0,0
0,2225.0,3,0.139936630871571,0.2031690555695226,6,6,1,370.8333333333333,1.0,0
0,2082.0,2,0.1007797354427324,0.127906976744186,5,5,1,416.4,1.0,0
1,1970.0,2,0.1051242294496811,0.1373283395755306,5,5,0,394.0,1.0,0
1,2050.0,2,0.1012993620601933,0.1294117647058823,5,5,0,410.0,1.0,0
0,2018.0,2,0.1037115143891324,0.1321321321321321,5,5,1,403.6,1.0,0
1,1992.0,2,0.103830980670774,0.134886572654813,5,5,0,398.4,1.0,0
1,2029.0,2,0.1026473763420886,0.1321321321321321,5,5,0,405.8,1.0,0
1,1965.0,2,0.1046316844966067,0.1376720901126408,5,5,0,393.0,1.0,0
0,2021.0,2,0.1030501281583307,0.1332525741974561,5,5,1,404.2,1.0,0
1,2140.0,3,0.142376521772382,0.2031690555695226,5,5,0,428.0,1.0,0
1,2034.0,2,0.1017860296584685,0.1307966706302021,5,5,0,406.8,1.0,0
1,1977.0,2,0.1051235681635408,0.1362229102167182,5,5,0,395.4,1.0,0
1,1993.0,2,0.1041912584431766,0.1348039215686274,5,5,0,398.6,1.0,0
1,2035.0,2,0.1029967538263091,0.13189448441247,5,5,0,407.0,1.0,0
1,1968.0,3,0.0708835217049247,0.1386263390044108,5,5,0,393.6,1.0,0
1,1988.0,2,0.104430508923237,0.134886572654813,5,5,0,397.6,1.0,0
1,2098.0,2,0.1002026353397267,0.1267281105990783,5,5,0,419.6,1.0,0
1,2042.0,2,0.1018854176298442,0.1304863582443653,5,5,0,408.4,1.0,0
1,1997.0,2,0.1037192082643994,0.1334141904184354,5,5,0,399.4,1.0,0
1,1968.0,2,0.1055027498279528,0.1373283395755306,5,5,0,393.6,1.0,0
1,2014.0,2,0.1030218623455805,0.1331719128329297,5,5,0,402.8,1.0,0
1,2024.0,2,0.1025772788362716,0.13189448441247,5,5,0,404.8,1.0,0
1,2019.0,2,0.1036229934535019,0.1331719128329297,5,5,0,403.8,1.0,0
1,2012.0,2,0.1030781791212477,0.1321321321321321,5,5,0,402.4,1.0,0
1,2053.0,2,0.1023189361468293,0.1305637982195845,5,5,0,410.6,1.0,0
1,2033.0,2,0.1026320678021624,0.1320528211284513,5,5,0,406.6,1.0,0
1,1966.0,2,0.1046927653843817,0.1362229102167182,5,5,0,393.2,1.0,0
1,2017.0,2,0.1028280164524826,0.1320528211284513,5,5,0,403.4,1.0,0
1,2028.0,3,0.1451010242408273,0.2038794368827028,5,5,0,405.6,1.0,0
1,2060.0,2,0.1015198047090322,0.1294117647058823,5,5,0,412.0,1.0,0
0,2214.0,2,0.0963330344761047,0.1191120736329182,6,6,1,369.0,1.0,0
1,1954.0,3,1.58495842998005,4.680851063829787,5,5,0,390.8,1.0,0
1,2001.0,2,0.1039853880681481,0.1343921808185705,5,5,0,400.2,1.0,0
1,1997.0,2,0.1044476716937704,0.1347213717085119,5,5,0,399.4,1.0,0
1,2013.0,2,0.1024537604094335,0.1321321321321321,5,5,0,402.6,1.0,0
1,1991.0,2,0.1046270030854981,0.1348039215686274,5,5,0,398.2,1.0,0
1,2024.0,2,0.1025377658091858,0.1318154583582984,5,5,0,404.8,1.0,0
1,1999.0,2,0.1030664019413192,0.1333333333333333,5,5,0,399.8,1.0,0
1,1985.0,2,0.1045111903830116,0.1362229102167182,5,5,0,397.0,1.0,0
1,2001.0,2,0.1030664019413192,0.1333333333333333,5,5,0,400.2,1.0,0
0,2217.0,2,0.0964089297393744,0.1179624664879356,6,6,2,369.5,1.0,0
1,2013.0,2,0.1026595457733182,0.1321321321321321,5,5,0,402.6,1.0,0
1,1999.0,2,0.1040943631620732,0.1333333333333333,5,5,0,399.8,1.0,0
1,1934.0,2,0.1066216713084858,0.1403956604977664,5,5,0,386.8,1.0,0
1,2032.0,2,0.1026595457733182,0.1321321321321321,5,5,0,406.4,1.0,0
0,1997.0,3,0.146186449282834,0.2031690555695226,5,5,1,399.4,1.0,0
1,2020.0,2,0.1023865379141246,0.1319736052789442,5,5,0,404.0,1.0,0
1,2045.0,2,0.1019309246541256,0.1294117647058823,5,5,0,409.0,1.0,0
1,1978.0,3,0.0637720232122934,0.1373283395755306,5,5,0,395.6,1.0,0
1,2025.0,2,0.1025894807138965,0.13189448441247,5,5,0,405.0,1.0,0
1,2037.0,2,0.1023979989545225,0.1307966706302021,5,5,0,407.4,1.0,0
0,1812.0,2,0.112648366394426,0.1516195727084769,4,4,2,453.0,1.0,0
0,2210.0,2,0.0960729273663417,0.1189832341806381,6,6,2,368.3333333333333,1.0,0
0,2004.0,2,0.1032601463739188,0.1333333333333333,5,5,1,400.8,1.0,0
0,1820.0,2,0.1114971084095066,0.1501706484641638,4,4,1,455.0,1.0,0
1,1948.0,2,0.1063338435620875,0.1390644753476612,5,5,0,389.6,1.0,0
1,2012.0,2,0.1030947895525852,0.1334141904184354,5,5,0,402.4,1.0,0
1,2069.0,2,0.1013523909467131,0.1282798833819242,5,5,0,413.8,1.0,0
1,2033.0,2,0.1025772788362716,0.13189448441247,5,5,0,406.6,1.0,0
1,2007.0,2,0.1033288830915565,0.1334951456310679,5,5,0,401.4,1.0,0
1,1987.0,2,0.1039083240918103,0.1345565749235474,5,5,0,397.4,1.0,0
0,1803.0,2,0.1139587616498551,0.1534170153417015,4,4,2,450.75,1.0,0
1,1969.0,2,0.104900752767222,0.1362229102167182,5,5,0,393.8,1.0,0
1,2009.0,2,0.1033005749164698,0.1334141904184354,5,5,0,401.8,1.0,0
1,2057.0,2,0.1015137831677633,0.1305637982195845,5,5,0,411.4,1.0,0
0,2210.0,2,0.0962809147491819,0.1189832341806381,6,6,1,368.3333333333333,1.0,0
1,2009.0,2,0.102858171156699,0.1332525741974561,5,5,0,401.8,1.0,0
1,1952.0,3,0.0714434495197809,0.1403061224489795,5,5,0,390.4,1.0,0
1,2017.0,2,0.1026160907106018,0.1331719128329297,5,5,0,403.4,1.0,0
1,2007.0,2,0.1037192082643994,0.1334141904184354,5,5,0,401.4,1.0,0
1,2024.0,2,0.1027025158239453,0.132291040288635,5,5,0,404.8,1.0,0
